gst-plugins-ugly 1.28.7-1
gstreamer 1.28.7-1
gtest 1.18.0-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.5-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.52-1
gtk4 1:4.22.5-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gtksourceview4 4.8.4-2
gts 0.7.6.121130-5
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 14.4.0-1
harfbuzz-icu 14.4.0-1
hdf5 2.2.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hivex 1.3.24-8
hsa-rocr 7.2.4-1
htop 3.5.3-1
hunspell 1.7.3-1
hwdata 0.411-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.8-2
hyprland 0.56.2-3
hyprland-guiutils 0.2.2-3
hyprlang 0.6.8-5
hyprlauncher 0.1.6-8
hyprlock 0.9.6-3
hyprpaper 0.8.4-8
hyprpicker 0.4.7-4
hyprshot 1.3.0-4
hyprtoolkit 0.5.4-6
hyprutils 0.14.2-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
i2c-tools 4.4-4
iana-etc 20260617-1
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.31-1
imath 3.2.3-1
imlib2 1.12.7-3
iniparser 4.3.0-1
inotify-tools 4.25.9.0-1
insomnia 13.2.0-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.1-1
jasper 4.2.9-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.8-1
kaccounts-integration 26.08.1-1
kactivitymanagerd 6.7.5-1
kalk 26.08.1-1
karchive 6.30.0-1
kauth 6.30.0-1
kbd 2.10.0-1
kbookmarks 6.30.0-1
kcmutils 6.30.0-1
kcodecs 6.30.0-1
kcolorscheme 6.30.0-1
kcompletion 6.30.0-1
kconfig 6.30.0-1
kconfigwidgets 6.30.0-1
kcoreaddons 6.30.0-1
kcrash 6.30.0-1
kdbusaddons 6.30.0-1
kddockwidgets 2.4.1-1
kde-cli-tools 6.7.5-1
kdeclarative 6.30.0-1
kdecoration 6.7.5-1
kded 6.30.0-1
kdenlive 26.08.1-1
kdesu 6.30.0-1
kdnssd 6.30.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-4
kfilemetadata 6.30.0-1
kglobalaccel 6.30.0-1
kglobalacceld 6.7.5-1
kguiaddons 6.30.0-1
kholidays 1:6.30.0-1
ki18n 6.30.0-1
kiconthemes 6.30.0-1
kidletime 6.30.0-1
kio 6.30.0-1
kio-extras 26.08.1-1
kio-fuse 5.1.1-2
kirigami 6.30.0-1
kirigami-addons 1.14.0-1
kitemmodels 6.30.0-1
kitemviews 6.30.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.30.0-1
kmod 34.2-1
knewstuff 6.30.0-1
knighttime 6.7.5-1
knotifications 6.30.0-1
knotifyconfig 6.30.0-1
kpackage 6.30.0-1
kparts 6.30.0-1
kpipewire 6.7.5-1
kpty 6.30.0-1
kquickcharts 6.30.0-1
krb5 1.22.2-1
krunner 6.30.0-1
kscreenlocker 6.7.5-1
kservice 6.30.0-1
kstatusnotifieritem 6.30.0-1
ksvg 6.30.0-1
ksystemstats 6.7.5-1
ktexteditor 6.30.0-1
ktextwidgets 6.30.0-1
kunitconversion 6.30.0-1
kuserfeedback 6.30.0-1
kwallet 6.30.0-1
kwayland 6.7.5-1
kwidgetsaddons 6.30.0-1
kwin 6.7.5-1
kwindowsystem 6.30.0-1
kxmlgui 6.30.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
layer-shell-qt 6.7.5-1
lazygit 0.65.1-1
lcms2 2.19.1-1
ldb 2:4.24.7-1
leancrypto 1.9.0-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.22.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.4-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-2
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.4-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.7.1-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.1-2
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.2-1
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.4-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
